gid,year,pop_gpw_sum
"70794","2010","11497.768"
"70795","2010","5920.2783"
"70796","2010","2056.9468"
"71210","2010","1592.2911"
"71211","2010","1382.1237"
"71212","2010","6015.8047"
"71214","2010","2.2845964"
"71215","2010","159.37323"
"71216","2010","1468.8472"
"71217","2010","1016.85693"
"71265","2010","1622.1134"
"71266","2010","4734.0396"
"71267","2010","969.02496"
"71268","2010","384.71912"
"71269","2010","39.497875"
"71270","2010","11153.414"
"71271","2010","66041.91"
"71272","2010","23591.408"
"71273","2010","2107.388"
"71274","2010","5.9744234"
"71493","2010","12583.772"
"71494","2010","148714.14"
"71495","2010","71127.13"
"71496","2010","23728.754"
"71497","2010","20944.107"
"71498","2010","15590.369"
"71499","2010","10144.19"
"71500","2010","1260.0873"
"71501","2010","1020.2084"
"71502","2010","625.1833"
"71503","2010","813.1591"
"71504","2010","1030.5505"
"71505","2010","357.82257"
"71506","2010","357.82257"
"71507","2010","489.7888"
"71508","2010","553.13995"
"71509","2010","2504.587"
"71510","2010","2928.571"
"71511","2010","2194.1982"
"71512","2010","3119.8225"
"71513","2010","3763.095"
"71514","2010","4788.798"
"71515","2010","4913.5483"
"71516","2010","1177.4142"
"71928","2010","226.2131"
"71929","2010","116.65521"
"71936","2010","50.88578"
"71937","2010","532.87085"
"71986","2010","0"
"71991","2010","17047.207"
"71992","2010","96350.68"
"71993","2010","10563.461"
"71994","2010","3626.6443"
"72213","2010","681.7408"
"72214","2010","100298.055"
"72215","2010","46242.97"
"72216","2010","34364.258"
"72217","2010","25571.957"
"72218","2010","9983.466"
"72219","2010","2640.6978"
"72220","2010","1157.022"
"72221","2010","1784.55"
"72222","2010","1029.7289"
"72223","2010","584.3684"
"72224","2010","583.7327"
"72225","2010","1555.6791"
"72226","2010","3517.6912"
"72227","2010","3894.2874"
"72228","2010","3982.8525"
"72229","2010","4292.033"
"72230","2010","3347.2266"
"72231","2010","2106.2317"
"72232","2010","2113.2844"
"72233","2010","1992.2717"
"72234","2010","4352.8613"
"72235","2010","5182.4263"
"72236","2010","4154.9585"
"72648","2010","792.7381"
"72649","2010","630.39246"
"72656","2010","177.11551"
"72657","2010","129.22252"
"72708","2010","240.2923"
"72709","2010","10815.375"
"72710","2010","9168.532"
"72711","2010","37049.508"
"72712","2010","4421.2466"
"72713","2010","5348.3755"
"72714","2010","101879.45"
"72715","2010","225.35524"
"72934","2010","17513.463"
"72935","2010","51167.613"
"72936","2010","57456.11"
"72937","2010","38683.41"
"72938","2010","6073.8086"
"72939","2010","2649.159"
"72940","2010","7705.0137"
"72941","2010","11138.827"
"72942","2010","27407.742"
"72943","2010","58669.7"
"72944","2010","3000.4802"
"72945","2010","6456.011"
"72946","2010","13766.447"
"72947","2010","12274.137"
"72948","2010","4621.95"
"72949","2010","4621.95"
"72950","2010","3508.201"
"72951","2010","2319.6104"
"72952","2010","2317.7537"
"72953","2010","1759.8324"
"72954","2010","5269.8203"
"72955","2010","6753.7036"
"72956","2010","4057.102"
"72957","2010","1049.9183"
"72958","2010","79.71714"
"73373","2010","752.48926"
"73428","2010","6393.5625"
"73429","2010","70396.98"
"73430","2010","3841.1025"
"73431","2010","2604.9878"
"73432","2010","5184.034"
"73433","2010","3370.8425"
"73434","2010","21709.383"
"73435","2010","4600.7847"
"73436","2010","909.9352"
"73653","2010","80.80742"
"73654","2010","37751.777"
"73655","2010","194798.45"
"73656","2010","250089.12"
"73657","2010","31588.44"
"73658","2010","9282.067"
"73659","2010","3985.2253"
"73660","2010","7676.34"
"73661","2010","20282.195"
"73662","2010","95996.68"
"73663","2010","104889.84"
"73664","2010","88070.96"
